"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW3,SW4,SW1,SW2";"SPST_TACTILE_RA";4;"C13124";;;
2;"R7,R6";"0603-NO";2;"2.2K";;;
3;"U$7,U$61,U$64,U$60,U$59,U$58,U$9,U$10,U$63,U$8";"MOUNTINGHOLE_3.0_PLATEDTHIN";10;"MOUNTINGHOLE3.0THIN";;;
4;"@HOLE21,@HOLE2,@HOLE23,@HOLE3,@HOLE19,@HOLE6,@HOLE0,@HOLE9,@HOLE1,@HOLE22,@HOLE4,@HOLE5,@HOLE13,@HOLE12,@HOLE8,@HOLE14,@HOLE15,@HOLE18,@HOLE20,@HOLE10,@HOLE11,@HOLE16,@HOLE17,@HOLE7";"";24;"";;;
5;"TP3,TP4,TP5";"TESTPOINT_ROUND_2MM";3;"";;;
6;"JP2,JP1";"JST_SH9";2;"";;;
7;"U$34,U$3,U$35,U$5,U$4";"FIDUCIAL_1MM";5;"FIDUCIAL_1MM";;;
8;"C28,C19,C21,C25,C16,C11";"0603-NO";6;"1uF";;;
9;"U$66,U$65";"PCBFEAT-REV-040";2;"";;;
10;"U$62";"MONSTERM4SK_BACK";1;"";;;
11;"R12,R9";"0603-NO";2;"47K";;;
12;"D4,D3";"SOD-323";2;"3.6V";;;
13;"X1";"JSTPH2";1;"JSTPH";;;
14;"TP7,TP6,TP8";"TESTPOINT_ROUND_2MM_NO";3;"";;;
15;"C1,C4,C13,C15,C17,C2";"0805-NO";6;"10uF";;;
16;"Q3,Q6,Q4,Q5";"SOT23-WIDE";4;"BSS138";;;
17;"R8,R11,R15";"0603-NO";3;"1K";;;
18;"IC2";"QFN24_4MM";1;"ATSAMD09D14A-MU";;;
19;"U5";"MSOP8_0.65MM";1;"PAM8302AASCR";;;
20;"D5";"SOD-123";1;"MBR0540";;;
21;"TP2,TP1";"TESTPOINT_ROUND_1.5MM_NO";2;"";;;
22;"R17,R1";"0603-NO";2;"10K";;;
23;"R13";"0603-NO";1;"DNP";;;
24;"I2C0";"JSTPH4";1;"JST PH 4";;;
25;"SJ2,SJ1";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";2;"";;;
26;"R10";"RESPACK_4X0603";1;"100";;;
27;"C23,C22";"C1210";2;"100uF";;;
28;"C27,C30";"0805-NO";2;"10µF";;;
29;"Q2,Q1";"SOT23-R";2;"DMG2305";;;
30;"R4,R3";"0603-NO";2;"100K";;;
31;"C5,C3,C12,C20";"0603-NO";4;"0.1uF";;;
32;"C10";"_0805MP";1;"10uF";;;
33;"U2";"ALS-PT26-21C";1;"ALS-PT21";;;
34;"X2";"4UCONN_18510";1;"C2424";;;
35;"U4,U6";"SOT23-5";2;"AP2112-3.3";;;
36;"IC4";"LGA16_3X3MM";1;"LIS3DH";;;
37;"FB2";"_0805MP";1;"Ferrite";;;
38;"R21";"0603-NO";1;"1k";;;
39;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
40;"IC3";"TQFN48_7MM";1;"ATSAMD51G_TQFN48";;;
41;"R18";"0603-NO";1;"100";;;
42;"R16";"0603-NO";1;"4.7K";;;
43;"R2";"0603-NO";1;"100k";;;
44;"SW11";"SPDT_SMT_SSSS811101";1;"C5392";;;
45;"NEOPIX0,SENSE0";"JSTPH3";2;"JST PH 3";;;
46;"R19,R14";"RESPACK_4X0603";2;"10K";;;
47;"U1";"SOIC8_208MIL";1;"GD25x16";;;
48;"R23,R5";"0603-NO";2;"10";;;
49;"X3";"4UCONN_20329_NARROW";1;"microUSB";;;
50;"U$13";"53398-0271";1;"CON_MOLEX_2P";;;
51;"L0";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
52;"FB1";"0805-NO";1;"Ferrite";;;
53;"R20";"0603-NO";1;"2Meg";;;
54;"CONN1";"JST_SH4";1;"STEMMA_I2C_QT";;;
55;"CHG0";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
56;"TFT2,TFT1";"TFT_1.54IN_240X240_22PIN";2;"DISP_TFT_1.54IN_240X240_22P";;;
57;"U$57";"MONSTERM4SK_FRONT";1;"";;;
