C1	15.31	27.81	270.00	22pF	0805
C10	11.25	22.61	270.00	NC	0805
C11	27.88	19.05	180.00	0.1µF	0805
C12	31.84	15.49	90.00	33pF	0805
C13	38.19	15.49	270.00	33pF	0805
C14	24.83	16.01	180.00	0.1µF	0805
C15	22.55	11.19	0.00	1000pF	0805
C16	43.12	22.61	270.00	0.1µF	0805
C17	32.58	31.75	180.00	0.1µF	0805
C18	32.20	33.78	180.00	10µF	0805
C19	27.38	30.73	270.00	10µF	0805
C2	15.31	22.61	270.00	22pF	0805
C20	32.58	29.72	180.00	0.1µF	0805
C21	55.43	36.17	0.00	10µF	0805
C22	36.77	38.35	270.00	10µF	0805
C23	29.54	30.61	270.00	0.1µF	0805
C24	25.35	33.02	270.00	0.1µF	0805
C25	27.88	21.08	180.00	10µF	0805
C26	55.50	39.25	0.00	10µF	0805
C3	19.24	27.81	90.00	220pF	0805
C4	19.24	22.61	90.00	220pF	0805
C5	17.34	27.81	270.00	NC	0805
C6	17.34	22.61	270.00	NC	0805
C7	13.28	27.81	270.00	100pF	0805
C8	13.28	22.61	270.00	100pF	0805
C9	11.25	27.81	270.00	NC	0805
FID1	13.46	39.12	0.00	FIDUCIAL1X2.5	FIDUCIAL-1X2.5
FID2	47.75	6.10	0.00	FIDUCIAL1X2.5	FIDUCIAL-1X2.5
L1	28.27	34.29	180.00	FERRITE	0603
L2	24.96	19.81	90.00	FERRITE	0603
L3	27.38	26.16	0.00	560nH	0805
L4	27.38	23.62	0.00	560nH	0805
LED1	15.00	45.00	90.00	PWR	CHIPLED_0805
R1	24.83	13.47	0.00	1.0K	0805
R2	21.53	15.37	90.00	1.69K	0805
R3	9.22	28.71	270.00	1.5	0805
R4	9.10	21.97	270.00	1.5	0805
R5	5.28	29.59	90.00	NC	R0201
R6	5.28	22.86	270.00	NC	R0201
R7	22.00	37.00	0.00	10K	0805
R8	15.00	43.00	0.00	TBD	0805
TP1	21.53	28.43	0.00	TX1_POST	TESTPOINT_PAD_2MM
TP2	21.53	25.33	0.00	TGND	TESTPOINT_PAD_2MM
TP3	21.53	22.22	0.00	TX2_POST	TESTPOINT_PAD_2MM
TP4	9.22	18.54	0.00	TX2_PRE	TESTPOINT_PAD_2MM
TP5	9.22	32.11	0.00	TX1_PRE	TESTPOINT_PAD_2MM
TP6	9.23	25.33	0.00	TGND	TESTPOINT_PAD_2MM
TP7	21.53	18.80	0.00	RX	TESTPOINT_PAD_2MM
U1	35.79	24.62	0.00	PN532	HVQFN40-6X6
U2	51.25	37.50	180.00	ADP121(3.3V)	SOT23-5
Y1	35.01	15.24	0.00	27.12MHz	CRYSTAL_3.2X2.5
