"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP_LL0,TP_ONL0,TP_USH0,TP_GATE0,TP_5V1,TP_RESET2,TP_LCMD0,TP_MOSI2,TP_RXL0,TP_TXL0,TP_TX0,TP_USBVCC0,ORIGIN0,TP_VUCAP0,TP_MISO2,TP_DTR0,TP_RX0,TP_SCK2,TP_CMP0";"TP-SP";19;"TP_SP";;;
2;"RX0,L0,TX0";"CHIP-LED0805";3;"YELLOW";;;
3;"Z1,Z2";"CT_CN0603";2;"CG0603MLC-05E";;;
4;"D2,D3";"MINIMELF";2;"CD1206-S01575";;;
5;"C6,C2,C4,C5,C7,C1";"C0603-ROUND";6;"100n";;;
6;"@HOLE2,@HOLE3,@HOLE0,@HOLE1";"";4;"";;;
7;"RN3";"CAY16";1;"22R";;;
8;"J2";"1X18-CUSTOM";1;"-";;;
9;"U4";"MLF32";1;"ATMEGA328P-MU";;;
10;"U5";"MSOP08";1;"LMV358IDGKR";;;
11;"RESET-EN0,GROUND0";"SJ";2;"";;;
12;"FD1,FD2,FD3";"FD-1-1.5";3;"DNP";;;
13;"RN2,RN4";"CAY16";2;"1K";;;
14;"RESET0";"TS42";1;"TS42031-160R-TR-7260";;;
15;"Y1";"QS";1;"16MHz";;;
16;"T1";"SOT-23";1;"FDN340P";;;
17;"Y2";"RESONATOR";1;"CSTCE16M0V53-R0 16MHZ";;;
18;"R2,R1";"R0603-ROUND";2;"1M";;;
19;"L2";"0805";1;"10uH";;;
20;"X1";"POWERSUPPLY_DC-21MM";1;"POWERSUPPLY_DC21MMX";;;
21;"C3,C8";"C0603-ROUND";2;"1u";;;
22;"L1";"0805";1;"BLM21";;;
23;"F1";"L1812";1;"MF-MSMF050-2 500mA";;;
24;"X2";"PN61729";1;"USB-B_TH";;;
25;"RN1";"CAY16";1;"10K";;;
26;"C9,C11";"C0603-ROUND";2;"22p";;;
27;"U3";"ATMEL_QFN32";1;"16U2";;;
28;"ICSP0,ICSP1";"2X03";2;"3x2 M";;;
29;"D1";"SMB";1;"M7";;;
30;"J1";"1X14-CUSTOM";1;"-";;;
31;"ON0";"CHIP-LED0805";1;"GREEN";;;
32;"FRAME1";"FRAME";1;"DNP";;;
33;"U1";"SOT223";1;"NCP1117ST50T3G";;;
34;"JP2";"2X02";1;"2x2 M-NM";;;
35;"C10";"C0603-ROUND";1;"100nF";;;
36;"U2";"SOT23-DBV";1;"LP2985-33DBVR";;;
37;"PC2,PC1";"PANASONIC_D";2;"47u";;;
