BR1	28.14	20.53	270.00	NM	J0402
C1	36.37	9.55	0.00	22uF	SMC_B
C10	37.49	14.94	90.00	100nF	C0402
C11	31.27	21.87	180.00	22uF	SMC_B
C12	34.24	20.83	90.00	100nF	C0402
C13	54.15	40.74	270.00	100nF	C0402
C14	34.65	30.48	0.00	100nF	C0402
C15	34.65	25.40	0.00	100nF	C0402
C16	55.07	12.29	90.00	100nF	C0402
C17	61.57	23.37	90.00	100nF	C0402
C18	37.87	11.79	180.00	100nF	C0402
C19	40.84	12.29	90.00	100nF	C0402
C2	27.61	40.44	180.00	22uF	SMC_B
C20	2.24	45.01	180.00	10n	C0402
C21	40.23	41.25	90.00	22pF	C0402
C22	34.95	40.84	90.00	22pF	C0402
C23	29.06	27.84	180.00	22pF	C0402
C24	29.06	30.48	180.00	22pF	C0402
C25	28.85	37.24	180.00	22pF	C0402
C26	10.57	43.99	180.00	10n	C0402
C27	16.97	45.11	90.00	22uF	SMC_B
C28	1.73	31.50	90.00	100nF	C0402
C29	72.54	33.53	90.00	22uF	SMC_B
C3	42.47	9.55	0.00	22uF	SMC_B
C30	18.21	25.02	90.00	100nF	C0402
C31	18.57	30.51	180.00	100nF	C0402
C32	42.37	40.54	180.00	100nF	C0402
C33	43.69	42.88	0.00	22uF	SMC_B
C34	29.67	19.71	180.00	100nF	C0402
C35	13.72	45.11	90.00	22uF	SMC_B
C36	13.82	19.20	90.00	100nF	C0402
C37	10.69	13.65	180.00	100nF	C0402
C38	19.61	24.99	90.00	1uF	C0402
C39	8.84	13.65	0.00	22pF	C0402
C4	35.97	20.42	0.00	100nF	C0402
C40	11.48	18.34	0.00	22pF	C0402
C41	82.75	22.26	0.00	100nF	C0603-ROUND
C49	75.90	22.94	180.00	22uF	SMC_B
C5	52.12	40.74	270.00	100nF	C0402
C50	76.00	28.14	180.00	100nF	C0603-ROUND
C6	34.95	22.96	0.00	100nF	C0402
C7	56.90	12.29	90.00	100nF	C0402
C8	61.47	26.01	270.00	100nF	C0402
C9	34.95	32.61	0.00	100nF	C0402
D1	17.63	5.89	180.00	MSS1P3L-M3/89A	MICROSMP
D2	25.20	22.05	270.00	CD1206-S01575	MINIMELF
D5	17.05	8.13	180.00	SS1P3L	DO220AAL
ERASE	72.68	38.71	180.00	157SW	SMD_157SW
F1	12.55	40.79	180.00	MF-MSMF050-2 500mA	L1812
F2	4.27	29.87	270.00	MF-MSMF050-2 500mA	L1812
FID1	89.92	32.68	0.00	FIDUCIALMOUNT	FIDUCIA-MOUNT
FID2	93.19	4.50	0.00	FIDUCIALMOUNT	FIDUCIA-MOUNT
FID3	6.22	48.77	0.00	FIDUCIALMOUNT	FIDUCIA-MOUNT
FID4	2.67	2.41	0.00	FIDUCIALMOUNT	FIDUCIA-MOUNT
IC1	19.36	27.94	90.00	LMV358IDGKR	MSOP08
IC10	13.26	14.60	0.00	74LVC1G125DCKR	SC70-5
IC4	81.64	33.48	270.00	NX1117CE33Z	SOT223
IC5	81.53	26.65	180.00	MPM3610	QFN-20
IC6	18.19	19.51	0.00	ATMEGA16U2-MU	MLF32
JR1	28.14	19.91	90.00	0R	R0402
L	10.54	29.57	90.00	Yellow	CHIPLED_0805
L1	32.51	14.02	0.00	MH2029-300Y	0805
L2	32.21	39.42	180.00	MH2029-300Y	0805
L3	32.46	12.09	0.00	MH2029-300Y	0805
L5	38.30	43.79	0.00	MH2029-300Y	0805
L6	14.63	7.87	90.00	MH2029-300Y	0805
ON	10.54	27.69	90.00	Green	CHIPLED_0805
PC1	23.04	5.99	270.00	47uF	PANASONIC_D
PC2	75.90	25.86	180.00	22uF	SMC_B
Q2	25.40	26.77	90.00	BC847B	SOT23
R1	22.96	43.28	90.00	0R	R0402
R13	23.06	23.83	0.00	10K	R0402
R14	3.35	15.14	270.00	1K	R0402
R15	2.03	15.14	90.00	1K	R0402
R16	7.77	18.34	180.00	100k	R0402
R17	8.48	20.52	0.00	75K	R0603-ROUND
R18	16.16	11.46	270.00	10K	R0402
R19	14.53	24.08	180.00	22R	R0402
R2	19.61	42.88	180.00	10K	R0402
R20	14.53	25.20	180.00	22R	R0402
R21	20.93	23.98	90.00	1K	R0402
R23	22.96	20.12	0.00	1K	R0402
R28	85.88	28.68	180.00	100K_1%	R0603-ROUND
R29	85.88	26.80	180.00	19K1_0,1%	R0603-ROUND
R3	29.06	25.40	180.00	1K	R0402
R30	85.90	23.65	180.00	100k	R0603-ROUND
R31	85.85	25.15	180.00	56k	R0603-ROUND
R4	32.61	25.40	180.00	100k	R0402
R5	36.98	36.27	90.00	39R 1%	R0402
R6	34.44	35.00	270.00	39R 1%	R0402
R7	26.31	36.68	90.00	6K8	R0603-ROUND
R8	34.65	28.24	0.00	0R-DNP	R0402
R9	9.55	18.34	0.00	1M	R0402
R99	28.35	17.83	90.00	10K	R0402
RESET	6.22	48.77	0.00	TS42	TS42
RN1	18.75	39.93	90.00	100k	CAY16
RN2	17.78	36.35	270.00	100k	CAY16
RN3	13.89	30.94	270.00	1K	CAY16
RN4	24.69	30.48	270.00	100k	CAY16
RN5	78.74	38.71	180.00	1K5	CAY16
RX	10.54	33.32	90.00	Yellow	CHIPLED_0805
RX1	4.27	16.87	270.00	Yellow	CHIPLED_0805
T1	14.20	27.41	180.00	PMV48XP	SOT-23
T2	10.46	22.10	270.00	PMV48XP	SOT-23
T3	30.12	15.62	90.00	PMV48XP	SOT-23
TX	10.54	31.45	90.00	Yellow	CHIPLED_0805
TX1	4.37	13.41	270.00	Yellow	CHIPLED_0805
U1	48.90	26.04	180.00	ATSAM3X8EA-AU	LQFP144
