BATT	0.00	-20.49	180.00	3-6VDC	JSTPH2
C1	2.24	4.37	0.00	1pF NP0	RESC0402_N
C10	4.61	0.11	0.00	1pF NP0	RESC0402_N
C11	4.62	-2.50	0.00	1pF NP0	RESC0402_N
C12	11.25	5.51	270.00	12pF	RESC0402_N
C13	7.71	5.24	270.00	12pF	RESC0402_N
C14	5.22	4.66	0.00	100pF NP0 5%	RESC0402_N
C15	0.13	4.37	180.00	820pF NP0 5%	RESC0402_N
C16	-6.45	5.11	0.00	0.1uF X7R 10%	0603-NO
C17	4.57	1.45	0.00	1pF NP0	RESC0402_N
C18	5.27	-11.11	180.00	1uF	0603-NO
C19	3.44	18.03	0.00	10uF X5R	RESC0805_N
C2	-11.59	7.15	0.00	1uF	0603-NO
C20	-6.90	7.42	90.00	0.1uF X7R 10%	0603-NO
C21	5.74	6.49	0.00	0.1uF X7R 10%	RESC0603_L
C22	-1.92	15.26	90.00	4.7uF X7S 10%	RESC0805_N
C23	0.33	15.33	90.00	10uF X5R	RESC0805_N
C24	5.97	12.51	180.00	1uF X7R 10%	RESC0603_N
C25	4.27	15.14	90.00	1uF X7R 10%	RESC0603_N
C26	17.54	4.49	180.00	10uF	0805-NO
C27	-5.74	18.18	0.00	10uF	0805-NO
C3	14.41	-3.82	270.00	1uF	0603-NO
C4	2.98	-14.29	180.00	10uF	0805-NO
C5	-0.32	-14.73	0.00	1uF	0603-NO
C6	-5.08	-0.64	90.00	1uF	0603-NO
C7	2.69	15.16	270.00	0.1uF X7R 10%	0603-NO
C8	3.43	-16.13	180.00	10uF	0805-NO
C9	-8.18	-11.80	180.00	0.1uF	0603-NO
CN1	0.00	21.44	180.00	MicroB USB	4UCONN_20329_V2
D1	7.66	-11.96	30.00	MBR120	SOD-123
D2	5.14	-21.46	90.00	MBR120	SOD-123
F1	-5.52	-21.59	90.00	6V+ 500mA	R1206
IC1	11.43	-4.45	90.00	MIC_PDM	SPK0415HM4H
IC2	-13.78	-4.13	180.00	PAM8301	SOT23-6
IC3	-4.95	7.52	90.00	GD25Q16	USON8
IC4	6.16	-8.45	180.00	LIS3DH	LGA16_3X3MM
L	6.22	22.10	0.00	RED	CHIPLED_0603_NOOUTLINE
L1	4.08	-1.19	270.00	3.9nH	RESC0402_N
L2	3.47	2.95	290.00	3.9nH	RESC0402_N
LED1	15.11	-8.13	60.00	WS2812B3535	LED3535
LED10	-8.13	-15.11	330.00	WS2812B3535	LED3535
LED2	8.64	-14.86	30.00	WS2812B3535	LED3535
LED3	17.14	-0.25	90.00	WS2812B3535	LED3535
LED4	14.99	8.25	120.00	WS2812B3535	LED3535
LED5	8.51	14.86	150.00	WS2812B3535	LED3535
LED6	-8.76	14.99	210.00	WS2812B3535	LED3535
LED7	-14.86	8.51	240.00	WS2812B3535	LED3535
LED8	-17.14	0.00	270.00	WS2812B3535	LED3535
LED9	-14.86	-8.89	300.00	WS2812B3535	LED3535
PWR	-6.35	22.23	0.00	GREEN	CHIPLED_0603_NOOUTLINE
Q1	-15.66	4.45	0.00	DMG3405	SOT23-R
R1	-11.30	-11.37	180.00	47K	0603-NO
R10	-16.00	-4.19	90.00	100K	0603-NO
R11	18.41	-4.55	250.00	1M	0603-NO
R12	13.49	-13.00	230.00	1M	0603-NO
R13	-14.05	12.80	230.00	1M	0603-NO
R14	-18.56	4.01	250.00	1M	0603-NO
R15	-16.89	-10.49	300.00	1M	0603-NO
R16	-12.50	-15.12	320.00	1M	0603-NO
R17	-5.14	14.05	270.00	100K	0603-NO
R2	8.77	-8.61	270.00	10K	0603-NO
R3	-7.09	20.03	180.00	10K	0603-NO
R4	-9.23	6.62	90.00	10K	0603-NO
R5	7.10	19.92	180.00	4.7K	0603-NO
R6	8.51	-4.13	90.00	10K	0603-NO
R7	10.26	10.62	180.00	10K	0603-NO
R8	12.75	14.01	130.00	1M	0603-NO
R9	17.40	9.47	120.00	1M	0603-NO
RESET	0.00	2.26	180.00	KMR2	BTN_KMR2_4.6X2.8
SP1	-8.42	-6.26	0.00	7.5mm SPK	BUZZER_SMT_7.5MM
SW1	-9.91	1.02	180.00	EVQQ	EVQ-Q2_SMALLER
SW2	9.91	1.02	180.00	EVQQ	EVQ-Q2_SMALLER
SWITCH	0.00	-9.02	0.00	EG1390	EG1390
THM1	8.02	11.12	90.00	THERM	_0402
U$2	15.37	18.29	0.00	FIDUCIAL_1MM	FIDUCIAL_1MM
U$3	-15.49	-18.67	0.00	FIDUCIAL_1MM	FIDUCIAL_1MM
U$6	15.49	-18.67	0.00	FIDUCIAL_1MM	FIDUCIAL_1MM
U2	-10.08	8.94	0.00	ALS-PT19-315C	ALS-PT19-315C
U3	-3.56	-14.99	0.00	AP2112K-3.3	SOT23-5
U4	0.57	8.98	270.00	NRF52840	AQFN50P700X800X85_HS-74N_SMALLCENTER
X1	1.02	-2.17	180.00	2450AT18B100	ANT_2450AT18B100
Y1	9.53	5.73	0.00	32MHz	CRYSTAL_2X1.6
