"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R16,R19,R14,R5,R17,R18,R15,R11";"0402-1005X55N";8;"4k7";;;
2;"FRAME1";"FRAME";1;"DNP";;;
3;"D3";"SODFL3517X110N";1;"DNP";;;
4;"R4,R6,R10";"0402-1005X55N";3;"100k";;;
5;"C6";"0402-1005X55N";1;"1u";;;
6;"U3";"HVQFN24";1;"ATSAMD11D14A";;;
7;"FD2,FD1";"FD-1-1.5";2;"DNP";;;
8;"@HOLE2,@HOLE1,@HOLE0,@HOLE3";"";4;"";;;
9;"Q1,Q2";"SOT363";2;"BSS138PS";;;
10;"R13,R12,R3,R2";"0402-1005X55N";4;"330R";;;
11;"DL1,DL3,DL4";"LEDC1608X80N-AK";3;"YELLOW";;;
12;"DL2";"LEDC1608X80N-AK";1;"GREEN";;;
13;"U2";"SOT25";1;"AP2112K-3.3";;;
14;"JP3,JP2";"1X15-CASTELL";2;"-";;;
15;"PB1";"C&K_PTS820_NO_HOLES";1;"PTS820";;;
16;"C11,C10,C8,C2,C7";"0402-1005X55N";5;"100n";;;
17;"C4,C3";"0805-R2013X50N";2;"22u";;;
18;"R7";"0402-1005X55N";1;"0R";;;
19;"J2";"2X03-TP";1;"DNP";;;
20;"J1";"ZX62-AB-5PA";1;"-";;;
21;"C9,C5";"0402-1005X55N";2;"4u7";;;
22;"D+0,D-0";"TP-1.00MM";2;"DNP";;;
23;"IC1";"MPM3610";1;"MPM3610";;;
24;"R20";"0402-1005X55N";1;"DNP";;;
25;"D2";"SODFL3517X110N";1;"PMEG6020";;;
26;"D1";"SOT190P230X110-4N";1;"PRTR5V";;;
27;"C1";"0805-R2013X50N";1;"4n7";;;
28;"R9";"0402-1005X55N";1;"39k";;;
29;"R8";"0402-1005X55N";1;"19k1";;;
30;"R1";"0402-1005X55N";1;"1M";;;
31;"U1";"TQFP48";1;"ATMEGA4809";;;
