"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TX0,PWR0";"CHIPLED_0805";2;"Green";;;
2;"@HOLE2,@HOLE0,@HOLE1,@HOLE3";"";4;"";;;
3;"J4";"2X03";1;"";;;
4;"D-0,D+0";"TP-1.00MM";2;"DNP";;;
5;"RX0";"CHIPLED_0805";1;"Red";;;
6;"U$5,U$4,U$54,U$53";"FD-1-1.5";4;"DNP";;;
7;"J3";"USB-MINI-B_2";1;"";;;
8;"Y1";"RESONATOR";1;"16MHz";;;
9;"J2,J1";"HEAD15-NOSS";2;"XXXX_STRIPNANO";;;
10;"FRAME1";"FRAME";1;"DNP";;;
11;"L0";"CHIPLED_0805";1;"Yellow";;;
12;"SW1";"SMD_157SW";1;"RESET";;;
13;"IC3";"VQFN32";1;"328P-MUR";;;
14;"C7,C3,C8";"C0603-ROUND";3;"1uF";;;
15;"C2,C5";"TAN-A";2;"4,7uF_16V";;;
16;"IC1";"SSOP28";1;"FT232RL";;;
17;"C1,C6,C9,C4";"C0603-ROUND";4;"100nF";;;
18;"D1";"DO220AAL";1;"SS1P3L";;;
19;"RP2,RP1";"CAY16";2;"1K";;;
20;"F1";"0603-1608X90N";1;"MFFSMF050";;;
21;"IC2";"LINEAR_SOT223";1;"LM1117IMPX-5.0";;;
