"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C3,C29,PC2,C1,C35,C49,C2,C11,C33,C27";"SMC_B";10;"22uF";;;
2;"C39,C23,C24,C25,C40,C21,C22";"C0402";7;"22pF";;;
3;"R21,R23,R15,R3,R14";"R0402";5;"1K";;;
4;"USB1";"MCR-AB1-S-RA-SMT";1;"MCR-AB1-S-RA-SMT-TR";;;
5;"R29";"R0603-ROUND";1;"19K1_0,1%";;;
6;"Z3,Z1,Z4,Z5,Z2";"CT_CN0603";5;"BRNCG0603MLC-05E";;;
7;"C16,C15,C34,C12,C17,C32,C19,C6,C30,C14,C8,C13,C4,C36,C28,C9,C37,C5,C31,C7,C18,C10";"C0402";22;"100nF";;;
8;"L5,L3,L1,L2,L6";"0805";5;"MH2029-300Y";;;
9;"R28";"R0603-ROUND";1;"100K_1%";;;
10;"T1,T2,T3";"SOT-23";3;"PMV48XP";;;
11;"C41,C50";"C0603-ROUND";2;"100nF";;;
12;"ICSP1,SPI0";"2X03";2;"ICSP";;;
13;"RX1,TX0,L0,TX1,RX0";"CHIPLED_0805";5;"Yellow";;;
14;"UD-1,UVB2,UGND2,UD+1,UD-2,UVB1,UGND1,UD+2";"TP-1.00MM";8;"DNP";;;
15;"R19,R20";"R0402";2;"22R";;;
16;"R1,JR1";"R0402";2;"0R";;;
17;"R99,R13,R18,R2";"R0402";4;"10K";;;
18;"RN2,RN1,RN4";"CAY16";3;"100k";;;
19;"FID3,FID1,FID4,FID2";"FIDUCIA-MOUNT";4;"FIDUCIALMOUNT";;;
20;"IC4";"SOT223";1;"NX1117CE33Z";;;
21;"R7";"R0603-ROUND";1;"6K8";;;
22;"USB2";"CON2_USB_MICRO_B_AT";1;"MCR-B-S-RA-SMT-CS1TR";;;
23;"IC5";"QFN-20";1;"MPM3610";;;
24;"BR1";"J0402";1;"NM";;;
25;"ADCL0,PWML0,COMMUNICATION0,ADCH0,POWER0";"1X08";5;"FH254-108DF08500V";;;
26;"PWMH0";"1X10";1;"FH254-110DF08500V";;;
27;"RN5";"CAY16";1;"1K5";;;
28;"R5,R6";"R0402";2;"39R 1%";;;
29;"@HOLE3,@HOLE4,@HOLE0,@HOLE5,@HOLE1,@HOLE2";"";6;"";;;
30;"RN3";"CAY16";1;"1K";;;
31;"RESET0";"TS42";1;"TS42";;;
32;"R30";"R0603-ROUND";1;"100k";;;
33;"PC1";"PANASONIC_D";1;"47uF";;;
34;"D5";"DO220AAL";1;"SS1P3L";;;
35;"U$1,U$2";"FRAME";2;"DNP";;;
36;"R17";"R0603-ROUND";1;"75K";;;
37;"F1,F2";"L1812";2;"MF-MSMF050-2 500mA";;;
38;"IC10";"SC70-5";1;"74LVC1G125DCKR";;;
39;"DEBUG0";"PH1X4-THT";1;"";;;
40;"C26,C20";"C0402";2;"10n";;;
41;"Y2";"RESONATOR_EPSON_FC_145";1;"32,768Khz_SMD";;;
42;"D2";"MINIMELF";1;"CD1206-S01575";;;
43;"D1";"MICROSMP";1;"MSS1P3L-M3/89A";;;
44;"XIO0";"2X18";1;"18x2F-H8.5";;;
45;"R16,R4";"R0402";2;"100k";;;
46;"ERASE0";"SMD_157SW";1;"157SW";;;
47;"JP5";"2X02";1;"2x2M - NM";;;
48;"Q2";"SOT23";1;"BC847B";;;
49;"R31";"R0603-ROUND";1;"56k";;;
50;"U1";"LQFP144";1;"ATSAM3X8EA-AU";;;
51;"IC6";"MLF32";1;"ATMEGA16U2-MU";;;
52;"Y1";"CRYSTAL-3.2-2.5";1;"12mHz-12pF-K7";;;
53;"Y4";"CRYSTAL-3.2-2.5";1;"16Mhz-KX-7";;;
54;"X2";"POWERSUPPLY_DC-21MM";1;"POWER-SUPPLY";;;
55;"R9";"R0402";1;"1M";;;
56;"ON0";"CHIPLED_0805";1;"Green";;;
57;"IC1";"MSOP08";1;"LMV358IDGKR";;;
58;"R8";"R0402";1;"0R-DNP";;;
59;"C38";"C0402";1;"1uF";;;
60;"CN2";"PINHEAD_2X05_127";1;"PINHEAD-2x5-P1.27";;;
