C1	36.83	23.50	90.00	.01uF	0603-CAP
D1	26.67	22.86	270.00	BAS16	SOD-323
FID1	54.61	2.54	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
FID2	3.81	72.39	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
Q1	31.75	33.02	180.00	MMBT3906	SOT23
R1	21.59	22.86	90.00	10k	0603-RES
R10	13.97	31.75	0.00	330	0603-RES
R11	34.29	29.21	0.00	330	0603-RES
R12	49.53	31.75	0.00	330	0603-RES
R13	13.97	11.43	0.00	330	0603-RES
R14	49.53	12.70	180.00	330	0603-RES
R15	49.53	15.24	0.00	330	0603-RES
R16	49.53	17.78	180.00	330	0603-RES
R17	33.66	13.97	90.00	1k	0603-RES
R2	24.13	22.86	270.00	1k	0603-RES
R3	49.53	20.32	180.00	1meg	0603-RES
R4	31.12	13.97	270.00	100	0603-RES
R5	31.75	67.31	0.00	330	0603-RES
R6	49.53	67.31	0.00	330	0603-RES
R7	13.97	49.53	0.00	330	0603-RES
R8	31.75	49.53	0.00	330	0603-RES
R9	49.53	49.53	0.00	330	0603-RES
U1	31.75	22.86	180.00	LMV358	SO08
