"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP_XT2,TP_PB6,TP_RX0,GND_TP0,TP_A3,TP_PB4,TP_6,TP_PB5,GND_TP1,TP_XT1,TP_PB7,TP_8,TP_RXL0,TP_10,TP_VUCAP0,TP_XT4,TP_UGND0,TP_TXL0,TP_SCL0,TP_XUSB0,TP_9,TP_PWRIN0,TP_MOSI2,TP_RESET2,TP_A0,TP_GATE0,TP_5V0,TP_5,TP_USBVCC0,TP_CMP0,TP_XT3,TP_USH0,TP_3V3,TP_7,TP_2,TP_12,TP_TX0,TP_SCK2,TP_5V1,TP_3,TP_13,TP_RESET0,TP_SDA0,TP_AREF0,TP_DTR0,TP_ONL0,TP_0,TP_D+0,TP_A2,TP_11,TP_A4,TP_A5,TP_MISO2,TP_LL0,TP_LCMD0,TP_D-0,ORIGIN0,TP_VIN0,TP_1,TP_A1,TP_4";"TP-SP";61;"TP_SP";;;
2;"FRAME1";"FRAME";1;"DNP";;;
3;"Y1";"QS";1;"16MHz";;;
4;"C11,C9";"C0603-ROUND";2;"22p";;;
5;"RN1";"CAY16";1;"10K";;;
6;"C1,C10,C6,C5,C4,C7,C2";"C0603-ROUND";7;"100n";;;
7;"T1";"SOT-23";1;"FDN340P";;;
8;"IOH0";"1X10";1;"10x1F-H8.5";;;
9;"U2";"SOT23-DBV";1;"LP2985-33DBVR";;;
10;"@HOLE2,@HOLE1,@HOLE0,@HOLE3";"";4;"";;;
11;"Z1,Z2";"CT_CN0603";2;"CG0603MLC-05E";;;
12;"D3,D2";"MINIMELF";2;"CD1206-S01575";;;
13;"U5";"MSOP08";1;"LMV358IDGKR";;;
14;"ICSP1,ICSP0";"2X03";2;"3x2 M";;;
15;"PC1,PC2";"PANASONIC_D";2;"47u";;;
16;"L0,TX0,RX0";"CHIP-LED0805";3;"YELLOW";;;
17;"RESET-EN0,GROUND0";"SJ";2;"";;;
18;"RN3";"CAY16";1;"22R";;;
19;"FD3,FD2,FD1";"FIDUCIA-MOUNT";3;"FIDUCIALMOUNT";;;
20;"L1";"0805";1;"BLM21";;;
21;"U3";"MLF32";1;"ATMEGA16U2-MU(R)";;;
22;"R1,R2";"R0603-ROUND";2;"1M";;;
23;"X1";"POWERSUPPLY_DC-21MM";1;"POWERSUPPLY_DC21MMX";;;
24;"RN4,RN2";"CAY16";2;"1K";;;
25;"C3,C8";"C0603-ROUND";2;"1u";;;
26;"ZU4";"DIL28-3";1;"ATMEGA328P-PU";;;
27;"ON0";"CHIP-LED0805";1;"GREEN";;;
28;"X2";"PN61729";1;"USB-B_TH";;;
29;"RESET0";"TS42";1;"TS42031-160R-TR-7260";;;
30;"L2";"0805";1;"10uH";;;
31;"AD0";"1X06";1;"6x1F-H8.5";;;
32;"F1";"L1812";1;"MF-MSMF050-2 500mA";;;
33;"JP2";"2X02";1;"2x2 M - NM";;;
34;"Y2";"RESONATOR";1;"CSTCE16M0V53-R0 16MHZ";;;
35;"IOL0,POWER0";"1X08";2;"8x1F-H8.5";;;
36;"U1";"SOT223";1;"NCP1117ST50T3G";;;
37;"D1";"SMB";1;"M7";;;
