C1	8.89	6.35	0.00	0.1uF	0603-CAP
FID1	1.27	13.97	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
FID2	19.05	3.81	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
R1	2.54	7.62	180.00	10k	0603-RES
R2	2.54	9.40	180.00	10k	0603-RES
R3	2.54	11.18	180.00	10k	0603-RES
R4	17.78	8.89	180.00	10k	0603-RES
R5	17.78	7.11	180.00	10k	0603-RES
U1	10.16	11.43	0.00	TMP006	BGA8DS
