"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"ICSP1,ICSP0";"2X03";2;"ICSP";;;
2;"ADCH0,COMMUNICATION0,ADCL0,POWER0,PWML0";"1X08";5;"FH254-108DF08500V";;;
3;"IC1";"LINEAR_SOT223";1;"1870_LD1117S50CTR";;;
4;"RESET-EN0,GROUND0";"SJ";2;"";;;
5;"FD1,FD3,FD4,FD2";"FIDUCIA-MOUNT";4;"FIDUCIALMOUNT";;;
6;"XIO0";"2X18";1;"18x2F-H8.5";;;
7;"C1,C15,C14";"C0603-ROUND";3;"22p";;;
8;"PC2,PC1";"PANASONIC_D";2;"47uF";;;
9;"Z2,Z1";"CT_CN0603";2;"BRNCG0603MLC-05E";;;
10;"JP6";"1X10";1;"FH254-110DF08500V";;;
11;"R1,R2";"R0603-ROUND";2;"1M";;;
12;"Y1";"RESONATOR";1;"CSTCE16M0V53-R0";;;
13;"IC4";"MLF32";1;"ATMEGA16U2-MU";;;
14;"C3,C9,C16,C4,C7,C2,C12,C8,C11,C5,C6";"C0603-ROUND";11;"100nF";;;
15;"RN3,RN4";"CAY16";2;"1K";;;
16;"L1";"0805";1;"MH2029-300Y";;;
17;"T1";"SOT-23";1;"PMV48XP";;;
18;"U$1,U$2";"FRAME";2;"DNP";;;
19;"@HOLE4,@HOLE3,@HOLE1,@HOLE2,@HOLE0,@HOLE5";"";6;"";;;
20;"C13,C10";"C0603-ROUND";2;"1uF";;;
21;"IC6";"SOT23-DBV";1;"LP2985-33DBVR";;;
22;"JP5";"2X02";1;"2x2M - NM";;;
23;"D1";"SMB";1;"M7";;;
24;"Y2";"QS";1;"16MHz";;;
25;"IC3";"TQFP100";1;"ATMEGA2560-15AU";;;
26;"ON0";"CHIPLED_0805";1;"Green";;;
27;"IC7";"MSOP08";1;"LMV358IDGKR";;;
28;"D3,D2";"MINIMELF";2;"CD1206-S01575";;;
29;"X1";"POWERSUPPLY_DC-21MM";1;"POWERSUPPLY_DC21MMX";;;
30;"RN5,RN1";"CAY16";2;"10k";;;
31;"RX0,TX0,L0";"CHIPLED_0805";3;"Yellow";;;
32;"F1";"L1812";1;"MF-MSMF050-2 500mA";;;
33;"X2";"PN61729";1;"";;;
34;"L2";"0805";1;"10uH";;;
35;"RN2";"CAY16";1;"22R";;;
36;"RESET0";"TS42";1;"TS42";;;
