"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C4,C3";"C0603-ROUND";2;"22p";;;
2;"FID3,FID1,FID2";"FD-1-1.5";3;"DNP";;;
3;"D+0,VUSB0,D-0,GND0";"TP-1.00MM";4;"DNP";;;
4;"C5,C11,C14,C7";"C0603-ROUND";4;"1uF";;;
5;"IC1";"SOT223";1;"NCP1117ST50T3G";;;
6;"TX0,L0,RX0";"CHIPLED_0805";3;"Yellow";;;
7;"@HOLE0,@HOLE1,@HOLE2,@HOLE3";"";4;"";;;
8;"IC2";"MSOP08";1;"LMV358IDGKR";;;
9;"C13,C22,C2,C9,C6,C1";"C0603-ROUND";6;"100n";;;
10;"J4";"1X06";1;"6x1F-H8.5";;;
11;"Z1,Z2";"CT_CN0603";2;"CG0603MLC-05E";;;
12;"D1";"SMB";1;"M7";;;
13;"J1";"CON2_USB_MICRO_B_AT";1;"USB Micro";;;
14;"EXTPOWER0";"POWERSUPPLY_DC-21MM";1;"POWERSUPPLY_DC21MMX";;;
15;"L2,L1";"0805";2;"MH2029-300Y";;;
16;"RN3";"CAY16";1;"22R";;;
17;"ICSP0";"2X03";1;"ICSP";;;
18;"JP1";"1X10";1;"10x1F-H8.5";;;
19;"RN1";"CAY16";1;"10K";;;
20;"Y1";"CRYSTAL-3.2-2.5";1;"16MHz KX-7";;;
21;"RESET0";"TS42";1;"TS42";;;
22;"J2,J3";"1X08";2;"8x1F-H8.5";;;
23;"ON0";"CHIPLED_0805";1;"Green";;;
24;"D2";"MINIMELF";1;"CD1206-S01575";;;
25;"F1";"L1812";1;"MF-MSMF050-2 500mA";;;
26;"C8,C12,C10";"SMC_B";3;"10u";;;
27;"R1";"R0603-ROUND";1;"1M";;;
28;"T1";"SOT-23";1;"FDN340P";;;
29;"U2";"TQFP44-PAD";1;"ATMEGA32U4-XUAU";;;
30;"R4";"R0603-ROUND";1;"10K";;;
31;"FRAME1";"FRAME";1;"DNP";;;
32;"U1";"QFN44ML7X7";1;"ATMEGA32U4-XUMU";;;
33;"RN2";"CAY16";1;"1K";;;
34;"U3";"SOT23-DBV";1;"LP2985-33DBVR";;;
35;"R2,R3";"R0402";2;"NM";;;
