C1	63.50	24.77	270.00	0.1uF	0603-CAP
C2	46.99	7.62	270.00	10uF	EIA3216
CHAN_A	4.91	67.31	90.00		JST-2-SMD
CHAN_B	4.91	58.42	90.00		JST-2-SMD
CHAN_C	4.91	49.53	90.00		JST-2-SMD
CHAN_D	4.91	40.64	90.00		JST-2-SMD
CHAN_E	4.91	31.75	90.00		JST-2-SMD
CHAN_F	4.91	22.86	90.00		JST-2-SMD
CHAN_G	4.91	13.97	90.00		JST-2-SMD
CHAN_H	4.91	5.08	90.00		JST-2-SMD
D1	22.86	62.23	270.00	Status	LED-0603
JP11	40.64	4.91	180.00		JST-2-SMD
JP14	20.32	4.91	180.00		JST-2-SMD
JP16	13.97	70.61	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
JP17	47.24	2.54	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
R1	53.98	50.16	0.00	330	0603-RES
R10	23.50	50.16	0.00	330	0603-RES
R11	27.30	36.20	180.00	390	0603-RES
R12	27.30	50.16	0.00	330	0603-RES
R13	27.30	22.23	180.00	330	0603-RES
R14	23.50	36.20	0.00	390	0603-RES
R15	23.50	22.23	180.00	330	0603-RES
R16	37.47	22.23	180.00	330	0603-RES
R17	33.66	36.20	0.00	390	0603-RES
R18	33.66	22.23	180.00	330	0603-RES
R19	47.63	22.23	180.00	330	0603-RES
R2	57.79	36.20	180.00	390	0603-RES
R20	43.82	36.20	0.00	390	0603-RES
R21	43.82	22.23	180.00	330	0603-RES
R22	57.79	22.23	180.00	330	0603-RES
R23	53.98	36.20	0.00	390	0603-RES
R24	53.98	22.23	180.00	330	0603-RES
R25	19.69	59.69	270.00	330	0603-RES
R26	63.50	10.16	270.00	390	0603-RES
R27	55.88	2.54	180.00	240	0603-RES
R3	57.79	50.16	0.00	330	0603-RES
R4	43.82	50.16	0.00	330	0603-RES
R5	47.63	36.20	180.00	390	0603-RES
R6	47.63	50.16	0.00	330	0603-RES
R7	33.66	50.16	0.00	330	0603-RES
R8	37.47	36.20	180.00	390	0603-RES
R9	37.47	50.16	0.00	330	0603-RES
SJ1	63.50	17.78	0.00		SJ_2S-NO
U1	55.88	43.18	0.00	MOC3063S	DIP8SMD
U10	25.40	16.51	180.00	Z0103MN	SOT223
U11	35.56	29.21	180.00	MOC3063S	DIP8SMD
U12	35.56	16.51	180.00	Z0103MN	SOT223
U13	45.72	29.21	180.00	MOC3063S	DIP8SMD
U14	45.72	16.51	180.00	Z0103MN	SOT223
U15	55.88	29.21	180.00	MOC3063S	DIP8SMD
U16	55.88	16.51	180.00	Z0103MN	SOT223
U17	55.82	7.62	90.00	LM317	V-REG_DPACK
U2	55.88	55.88	0.00	Z0103MN	SOT223
U3	45.72	43.18	0.00	MOC3063S	DIP8SMD
U4	45.72	55.88	0.00	Z0103MN	SOT223
U5	35.56	43.18	0.00	MOC3063S	DIP8SMD
U6	35.56	55.88	0.00	Z0103MN	SOT223
U7	25.40	43.18	0.00	MOC3063S	DIP8SMD
U8	25.40	55.88	0.00	Z0103MN	SOT223
U9	25.40	29.21	180.00	MOC3063S	DIP8SMD
