BATT	0.00	-20.49	180.00	3-6VDC	JSTPH2
C1	5.46	-7.87	90.00	0.1uF	0603-NO
C2	-10.16	11.43	0.00	1uF	0603-NO
C3	-0.76	-3.94	0.00	1uF	0603-NO
C4	7.24	-20.96	90.00	10uF	0805-NO
C5	-7.11	-20.32	270.00	1uF	0603-NO
C6	13.97	-2.79	0.00	1uF	0603-NO
C7	5.71	8.64	0.00	1uF	0603-NO
C8	3.43	-15.62	180.00	10uF	0805-NO
C9	10.54	-8.13	270.00	1uF	0603-NO
CN1	0.00	21.44	180.00	MicroB USB	4UCONN_20329_V2
D1	5.46	-21.08	90.00	SCHOTTKY (1A)	SOD-123
D2	-5.46	-21.21	270.00	SCHOTTKY (1A)	SOD-123
D4	-4.70	-5.97	90.00	1N4148	SOD-323
IC1	0.00	11.68	180.00	ATMEGA32U4-MU	TQFN44_7MM
IC2	9.52	-4.95	270.00	LMV358MM	MSOP08
IC4	0.00	0.00	270.00	LIS3DH	LGA16_3X3MM
L	6.22	22.10	0.00	RED	CHIPLED_0805_NOOUTLINE
LED1	15.11	-8.13	60.00	WS2812B3535	LED3535
LED10	-8.13	-15.11	330.00	WS2812B3535	LED3535
LED2	8.64	-14.86	30.00	WS2812B3535	LED3535
LED3	17.14	-0.25	90.00	WS2812B3535	LED3535
LED4	14.99	8.25	120.00	WS2812B3535	LED3535
LED5	8.51	14.86	150.00	WS2812B3535	LED3535
LED6	-8.76	14.99	210.00	WS2812B3535	LED3535
LED7	-14.86	8.51	240.00	WS2812B3535	LED3535
LED8	-17.14	0.00	270.00	WS2812B3535	LED3535
LED9	-14.86	-8.89	300.00	WS2812B3535	LED3535
PWR	-6.35	21.84	0.00	GREEN	CHIPLED_0805_NOOUTLINE
Q1	-13.84	-4.32	180.00	MMBT2222	SOT23-WIDE
R1	3.43	17.02	270.00	22	0603-NO
R10	11.81	-8.13	270.00	10K	0603-NO
R11	13.21	-4.95	270.00	20K	0603-NO
R13	14.61	4.57	180.00	10K	0603-NO
R14	-15.49	4.06	270.00	10K	0603-NO
R15	-5.97	6.10	0.00	1M	RESPACK_4X0603_NO
R2	1.27	17.40	0.00	22	0603-NO
R21	-4.32	-1.40	0.00	100	0603-NO
R22	5.97	6.10	180.00	1M	RESPACK_4X0603_NO
R3	-7.11	19.30	180.00	1K	0603-NO
R4	-10.29	6.86	0.00	10K	0603-NO
R5	7.11	19.56	0.00	1K	0603-NO
R6	-4.32	-3.30	0.00	10K	0603-NO
R7	10.41	6.60	0.00	10K	0603-NO
R8	5.21	-4.83	0.00	1K	0603-NO
R9	5.21	-3.30	180.00	100K	0603-NO
RESET	0.00	4.19	180.00	KMR2	BTN_KMR2_4.6X2.8
SP1	-8.69	-6.76	0.00	8MM	BUZZER_SMT_5MM
SW1	-10.16	0.64	180.00	EVQQ	EVQ-Q2_SMALLER
SW2	10.16	0.64	180.00	EVQQ	EVQ-Q2_SMALLER
SWITCH	0.00	-8.26	0.00	EG1390	EG1390
THM1	10.29	8.26	0.00	10K	_0402
U$2	15.37	18.29	0.00	FIDUCIAL""	FIDUCIAL_1MM
U$3	-15.49	-18.67	0.00	FIDUCIAL""	FIDUCIAL_1MM
U$6	15.49	-18.67	0.00	FIDUCIAL""	FIDUCIAL_1MM
U1	8.13	-8.26	90.00	SPW2430	SPW2430HR5H-B
U2	-10.16	8.26	0.00	ALS-PT19-315C	ALS-PT19-315C
U3	-3.68	-14.73	0.00	AP2112K-3.3	SOT23-5
Y1	-6.48	12.19	45.00	8MHz	RESONATOR-SMD
