C1	47.23	24.26	90.00	22pF	0805
C10	51.29	29.46	90.00	NC	0805
C11	34.66	33.02	0.00	0.1µF	0805
C12	30.70	35.82	270.00	33pF	0805
C13	24.35	35.82	90.00	33pF	0805
C14	37.71	35.81	0.00	0.1µF	0805
C15	43.04	36.72	90.00	1000pF	0805
C16	21.70	31.50	90.00	0.1µF	0805
C17	32.00	14.99	180.00	0.1µF	0805
C18	29.96	19.05	0.00	10µF	0805
C19	35.16	21.34	90.00	10µF	0805
C2	47.23	29.46	90.00	22pF	0805
C20	31.48	21.84	0.00	0.1µF	0805
C21	28.67	13.84	270.00	10µF	0805
C22	26.78	18.03	90.00	10µF	0805
C24	37.19	19.05	90.00	0.1µF	0805
C25	34.66	30.99	0.00	10µF	0805
C26	28.01	8.52	0.00	10µF	0805
C3	43.30	24.26	270.00	220pF	0805
C4	43.30	29.46	270.00	220pF	0805
C5	45.21	24.26	90.00	NC	0805
C6	45.21	29.46	90.00	NC	0805
C7	49.26	24.26	90.00	100pF	0805
C8	49.26	29.46	90.00	100pF	0805
C9	51.29	24.26	90.00	NC	0805
FID1	18.60	9.78	180.00	FIDUCIAL1X2.5	FIDUCIAL-1X2.5
FID2	51.75	40.89	180.00	FIDUCIAL1X2.5	FIDUCIAL-1X2.5
L1	34.27	17.78	0.00	FERRITE	0805
L2	37.58	32.26	270.00	FERRITE	0805
L3	35.16	25.91	180.00	560nH	0805
L4	35.16	28.45	180.00	560nH	0805
LED1	47.54	11.01	270.00	PWR	CHIPLED_0805
LED2	46.74	44.45	270.00	IRQ	CHIPLED_0805
Q1	39.50	9.53	270.00	BSS138	SOT23-WIDE
Q2	39.37	13.46	270.00	BSS138	SOT23-WIDE
Q3	20.32	17.65	270.00	BSS138	SOT23-WIDE
Q4	23.88	15.24	180.00	BSS138	SOT23-WIDE
Q6	47.75	39.37	0.00	BSS138	SOT23-WIDE
R1	37.71	38.09	180.00	1.0K	0805
R10	46.74	42.16	180.00	TBD	0805
R11	36.07	9.53	90.00	10K	0805
R12	36.07	13.46	90.00	10K	0805
R13	42.42	9.53	90.00	10K	0805
R14	42.42	13.59	270.00	10K	0805
R15	20.45	22.10	270.00	10K	0805
R16	23.75	19.56	270.00	10K	0805
R17	21.21	12.95	270.00	10K	0805
R18	25.02	12.19	180.00	10K	0805
R2	41.01	36.70	270.00	1.69K	0805
R3	53.32	23.36	90.00	1.5	0805
R4	53.44	30.10	90.00	1.5	0805
R5	57.26	22.48	270.00	NC	R0201
R6	57.26	29.21	90.00	NC	R0201
R7	21.84	36.58	90.00	10K	0805
R8	47.54	13.01	180.00	TBD	0805
R9	19.69	36.58	270.00	10K	0805
SJ1	24.64	40.89	180.00		SOLDERJUMPER_REFLOW_NOPASTE
SJ2	20.83	41.02	0.00		SOLDERJUMPER_REFLOW_NOPASTE
TP1	41.01	23.64	180.00	TX1_POST	TESTPOINT_PAD_2MM
TP2	41.01	26.74	180.00	TGND	TESTPOINT_PAD_2MM
TP3	41.01	29.85	180.00	TX2_POST	TESTPOINT_PAD_2MM
TP4	53.32	33.53	180.00	TX2_PRE	TESTPOINT_PAD_2MM
TP5	53.32	19.96	180.00	TX1_PRE	TESTPOINT_PAD_2MM
TP6	53.31	26.74	180.00	TGND	TESTPOINT_PAD_2MM
TP7	41.01	33.27	180.00	RX	TESTPOINT_PAD_2MM
U1	26.75	27.45	180.00	PN532	HVQFN40-6X6
U2	31.61	11.40	0.00	ADP122(3.3V)	SOT23-5
Y1	27.53	35.81	180.00	27.12MHz	CRYSTAL_3.2X2.5
