ATMEGA328P-AU	7.62	11.43	135.00	ATMEGA328P-AU	TQFP32-08
C1	15.24	11.43	0.00	0.1uF	0402-CAP
C3	33.02	15.24	0.00	0.1uF	0402-CAP
C4	2.54	15.88	0.00	0.1uF	0402-CAP
JP10	7.62	3.56	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
JP9	33.53	22.10	0.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL
R1	33.02	12.70	0.00	10k	0402-RES
R10	15.24	8.26	180.00	1k	0402-RES
R2	19.05	14.61	180.00	1k	0402-RES
R3	22.86	14.61	180.00	1k	0402-RES
R4	29.21	14.61	180.00	1k	0402-RES
R6	22.86	8.26	180.00	1k	0402-RES
R7	19.05	8.26	180.00	1k	0402-RES
R8	15.24	14.61	180.00	1k	0402-RES
R9	25.40	14.61	180.00	1k	0402-RES
