Partlist

Exported from boardEagle.brd at 17/08/2022 18:40

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part          Value                Package                Library            Position (mil)        Orientation

ADCH          FH254-108DF08500V    1X08                   Connettori         (3250 100)            R0
ADCL          FH254-108DF08500V    1X08                   Connettori         (2350 100)            R0
BR1           NM                   J0402                  bibaja             (1108 834)            R270
C1            22uF                 SMC_B                  Condensatori       (1432 376)            R0
C2            22uF                 SMC_B                  Condensatori       (1087 1592)           R180
C3            22uF                 SMC_B                  Condensatori       (1672 376)            R0
C4            100nF                C0402                  Condensatori       (1416 804)            R0
C5            100nF                C0402                  Condensatori       (2052 1604)           R270
C6            100nF                C0402                  Condensatori       (1376 904)            R0
C7            100nF                C0402                  Condensatori       (2240 484)            R90
C8            100nF                C0402                  Condensatori       (2420 1024)           R270
C9            100nF                C0402                  Condensatori       (1376 1284)           R0
C10           100nF                C0402                  Condensatori       (1476 588)            R90
C11           22uF                 SMC_B                  Condensatori       (1231 861)            R180
C12           100nF                C0402                  Condensatori       (1348 820)            R90
C13           100nF                C0402                  Condensatori       (2132 1604)           R270
C14           100nF                C0402                  Condensatori       (1364 1200)           R0
C15           100nF                C0402                  Condensatori       (1364 1000)           R0
C16           100nF                C0402                  Condensatori       (2168 484)            R90
C17           100nF                C0402                  Condensatori       (2424 920)            R90
C18           100nF                C0402                  Condensatori       (1490.9001 464.29995) R180
C19           100nF                C0402                  Condensatori       (1608 484)            R90
C20           10n                  C0402                  Condensatori       (88 1772)             R180
C21           22pF                 C0402                  Condensatori       (1584 1624)           R90
C22           22pF                 C0402                  Condensatori       (1376 1608)           R90
C23           22pF                 C0402                  Condensatori       (1144 1096)           R180
C24           22pF                 C0402                  Condensatori       (1144 1200)           R180
C25           22pF                 C0402                  Condensatori       (1136 1466)           R180
C26           10n                  C0402                  Condensatori       (416 1732)            R180
C27           22uF                 SMC_B                  Condensatori       (668 1776)            R90
C28           100nF                C0402                  Condensatori       (68 1240)             R90
C29           22uF                 SMC_B                  Condensatori       (2856 1320)           R90
C30           100nF                C0402                  Condensatori       (717 985)             R90
C31           100nF                C0402                  Condensatori       (731 1201)            R180
C32           100nF                C0402                  Condensatori       (1668 1596)           R180
C33           22uF                 SMC_B                  Condensatori       (1720 1688)           R0
C34           100nF                C0402                  Condensatori       (1168 776)            R180
C35           22uF                 SMC_B                  Condensatori       (540 1776)            R90
C36           100nF                C0402                  Condensatori       (544 756)             R90
C37           100nF                C0402                  Condensatori       (420.8189 537.54331)  R180
C38           1uF                  C0402                  Condensatori       (772 984)             R90
C39           22pF                 C0402                  Condensatori       (348 537.54331)       R0
C40           22pF                 C0402                  Condensatori       (452 722)             R0
C41           100nF                C0603-ROUND            Condensatori       (3257.70005 876.19993) R0
C49           22uF                 SMC_B                  Condensatori       (2988 903)            R180
C50           100nF                C0603-ROUND            Condensatori       (2992 1108)           R180
CN2           PINHEAD-2x5-P1.27    PINHEAD_2X05_127       Connettori         (880 1516)            R180
COMMUNICATION FH254-108DF08500V    1X08                   Connettori         (3050 2000)           R0
D1            MSS1P3L-M3/89A       MICROSMP               Diodi              (704 232)             R180
D2            CD1206-S01575        MINIMELF               Diodi              (992 868)             R270
D5            SS1P3L               DO220AAL               Diodi              (690 320)             R180
DEBUG                              PH1X4-THT              Connettori         (1325 1712)           R180
ERASE         157SW                SMD_157SW              Switches           (2940 1524)           R180
