C1	18.54	5.08	180.00	1uF	0805
C2	18.54	7.62	180.00	1uF	0805
C3	11.43	10.67	270.00	1uF	0805
C4	18.54	10.16	0.00	1uF	0805
C5	4.06	14.48	90.00	10uF	0805
C6	6.10	14.48	90.00	10uF	0805
C7	12.70	17.91	0.00	10uF	0805
D1	14.48	10.79	90.00	1N4148	SOD-323F
FID1	4.57	18.54	0.00	FIDUCIAL""	FIDUCIAL_1MM
FID2	29.46	2.03	0.00	FIDUCIAL""	FIDUCIAL_1MM
LCD1	29.72	10.41	0.00		UG-2832HSWEG02_WRAPUNDER
Q1	2.54	5.59	180.00	BSS138	SOT23-WIDE
Q2	10.92	6.86	90.00	BSS138	SOT23-WIDE
R3	8.13	14.48	90.00	390K	0805
R4	2.54	9.27	0.00	10K	0805
R5	14.99	6.86	270.00	10K	0805
R7	6.60	6.60	0.00	10K	0805
R8	5.84	2.54	270.00	10K	0805
R9	7.87	2.54	90.00	10K	0805
U1	17.27	17.40	270.00	RT9193	SOT23-5
